TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Toilet_Inside,Toilet_Inside_Flush_Sewer,Toilet_Inside_Flush_Septic,Toilet_Inside_Flush_Other,Toilet_Inside_Pit_Ventilated,Toilet_Inside_Pit_Open,Toilet_Inside_Open_Drain,Toilet_Inside_Manual,Toilet_Inside_Pig,Toilet_Outside,Toilet_Public,Toilet_None
HH2808,27,500,03975,000000,Sub-District - Jalgaon (Jamod),Total," 32,824 "," 13,618 ", 387 ," 5,535 "," 1,465 "," 5,694 ", 494 , 42 , -   , 1 ," 19,206 ", 898 ," 18,308 "
HH2808,27,500,03975,000000,Sub-District - Jalgaon (Jamod),Rural," 27,505 "," 11,036 ", 352 ," 3,527 "," 1,413 "," 5,271 ", 444 , 29 , -   , -   ," 16,469 ", 195 ," 16,274 "
HH2808,27,500,03975,000000,Sub-District - Jalgaon (Jamod),Urban," 5,319 "," 2,582 ", 35 ," 2,008 ", 52 , 423 , 50 , 13 , -   , 1 ," 2,737 ", 703 ," 2,034 "
HH2808,27,500,03975,802662,Jalgaon (Jamod) (M Cl),Urban," 5,319 "," 2,582 ", 35 ," 2,008 ", 52 , 423 , 50 , 13 , -   , 1 ," 2,737 ", 703 ," 2,034 "
HH2808,27,500,03976,000000,Sub-District - Sangrampur,Total," 30,056 "," 11,049 ", 356 ," 3,549 "," 1,703 "," 5,007 ", 326 , 35 , -   , 73 ," 19,007 ", 555 ," 18,452 "
HH2808,27,500,03976,000000,Sub-District - Sangrampur,Rural," 30,056 "," 11,049 ", 356 ," 3,549 "," 1,703 "," 5,007 ", 326 , 35 , -   , 73 ," 19,007 ", 555 ," 18,452 "
HH2808,27,500,03976,000000,Sub-District - Sangrampur,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH2808,27,500,03977,000000,Sub-District - Shegaon,Total," 33,151 "," 15,153 ", 572 ," 9,612 ", 830 ," 3,870 ", 99 , 167 , -   , 3 ," 17,998 "," 1,903 "," 16,095 "
HH2808,27,500,03977,000000,Sub-District - Shegaon,Rural," 21,204 "," 8,626 ", 241 ," 4,035 ", 684 ," 3,546 ", 88 , 30 , -   , 2 ," 12,578 ", 65 ," 12,513 "
HH2808,27,500,03977,000000,Sub-District - Shegaon,Urban," 11,947 "," 6,527 ", 331 ," 5,577 ", 146 , 324 , 11 , 137 , -   , 1 ," 5,420 "," 1,838 "," 3,582 "
HH2808,27,500,03977,802663,Shegaon (M Cl),Urban," 11,947 "," 6,527 ", 331 ," 5,577 ", 146 , 324 , 11 , 137 , -   , 1 ," 5,420 "," 1,838 "," 3,582 "
HH2808,27,500,03978,000000,Sub-District - Nandura,Total," 38,784 "," 17,027 ", 439 ," 6,904 "," 1,691 "," 7,180 ", 730 , 39 , -   , 44 ," 21,757 ", 877 ," 20,880 "
HH2808,27,500,03978,000000,Sub-District - Nandura,Rural," 30,072 "," 11,374 ", 254 ," 2,180 "," 1,485 "," 6,719 ", 689 , 36 , -   , 11 ," 18,698 ", 480 ," 18,218 "
HH2808,27,500,03978,000000,Sub-District - Nandura,Urban," 8,712 "," 5,653 ", 185 ," 4,724 ", 206 , 461 , 41 , 3 , -   , 33 ," 3,059 ", 397 ," 2,662 "
