TableName,State_Code,District_Code,Tehsil_Code,Town_Code,Area_Name,Area_Type,Total_Households,Bank,Radio,TV,Computer_With_Internet,Computer_Without_Internet,Landline_Only,Mobile_Only,Landline_Mobile,Bicycle,Motorcycle,Car,With_All,With_None
HH4012,27,529,04279,000000,Sub-District - Vengurla,Total," 21,440 "," 14,401 "," 1,668 "," 11,899 ", 278 ," 1,131 "," 2,031 "," 10,548 "," 2,279 "," 6,525 "," 4,407 "," 1,053 ", 547 ," 4,003 "
HH4012,27,529,04279,000000,Sub-District - Vengurla,Rural," 18,478 "," 12,061 "," 1,415 "," 9,729 ", 198 , 958 ," 1,864 "," 8,897 "," 1,790 "," 5,087 "," 3,336 ", 841 , 376 ," 3,709 "
HH4012,27,529,04279,000000,Sub-District - Vengurla,Urban," 2,962 "," 2,340 ", 253 ," 2,170 ", 80 , 173 , 167 ," 1,651 ", 489 ," 1,438 "," 1,071 ", 212 , 171 , 294 
HH4012,27,529,04279,802879,Vengurla (M Cl),Urban," 2,962 "," 2,340 ", 253 ," 2,170 ", 80 , 173 , 167 ," 1,651 ", 489 ," 1,438 "," 1,071 ", 212 , 171 , 294 
HH4012,27,529,04280,000000,Sub-District - Kudal,Total," 36,853 "," 23,130 "," 2,913 "," 16,787 ", 651 ," 2,338 "," 2,751 "," 16,232 "," 3,135 "," 6,895 "," 7,207 "," 1,492 "," 1,275 "," 10,629 "
HH4012,27,529,04280,000000,Sub-District - Kudal,Rural," 33,536 "," 20,586 "," 2,778 "," 14,175 ", 433 ," 1,977 "," 2,572 "," 14,118 "," 2,515 "," 6,028 "," 5,635 "," 1,059 ", 833 ," 10,408 "
HH4012,27,529,04280,000000,Sub-District - Kudal,Urban," 3,317 "," 2,544 ", 135 ," 2,612 ", 218 , 361 , 179 ," 2,114 ", 620 , 867 ," 1,572 ", 433 , 442 , 221 
HH4012,27,529,04280,566839,Kudal (CT),Urban," 3,317 "," 2,544 ", 135 ," 2,612 ", 218 , 361 , 179 ," 2,114 ", 620 , 867 ," 1,572 ", 433 , 442 , 221 
HH4012,27,529,04281,000000,Sub-District - Sawantwadi,Total," 35,247 "," 22,848 "," 2,529 "," 19,924 ", 703 ," 2,347 "," 3,454 "," 15,994 "," 3,968 "," 7,356 "," 7,906 "," 1,680 "," 1,416 "," 7,682 "
HH4012,27,529,04281,000000,Sub-District - Sawantwadi,Rural," 27,018 "," 16,287 "," 1,777 "," 13,432 ", 265 ," 1,422 "," 2,879 "," 11,190 "," 2,331 "," 5,347 "," 4,501 ", 793 , 459 ," 7,033 "
HH4012,27,529,04281,000000,Sub-District - Sawantwadi,Urban," 8,229 "," 6,561 ", 752 ," 6,492 ", 438 , 925 , 575 ," 4,804 "," 1,637 "," 2,009 "," 3,405 ", 887 , 957 , 649 
HH4012,27,529,04281,802880,Sawantwadi (M Cl),Urban," 5,487 "," 4,763 ", 637 ," 4,503 ", 354 , 734 , 385 ," 3,306 "," 1,310 "," 1,306 "," 2,487 ", 725 , 786 , 259 
HH4012,27,529,04281,566922,Majgaon (CT),Urban," 1,210 ", 778 , 22 , 843 , 29 , 74 , 138 , 641 , 99 , 235 , 389 , 66 , 61 , 187 
HH4012,27,529,04281,566923,Banda (CT),Urban," 1,532 "," 1,020 ", 93 ," 1,146 ", 55 , 117 , 52 , 857 , 228 , 468 , 529 , 96 , 110 , 203 
HH4012,27,529,04282,000000,Sub-District - Dodamarg,Total," 11,805 "," 7,907 ", 820 ," 6,002 ", 92 , 722 ," 1,056 "," 5,024 "," 1,074 "," 1,644 "," 2,426 ", 432 , 242 ," 3,078 "
HH4012,27,529,04282,000000,Sub-District - Dodamarg,Rural," 11,805 "," 7,907 ", 820 ," 6,002 ", 92 , 722 ," 1,056 "," 5,024 "," 1,074 "," 1,644 "," 2,426 ", 432 , 242 ," 3,078 "
HH4012,27,529,04282,000000,Sub-District - Dodamarg,Urban, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
HH4012,27,530,00000,000000,District - Kolhapur,Total," 821,483 "," 618,233 "," 257,521 "," 507,573 "," 22,269 "," 49,610 "," 62,018 "," 444,091 "," 89,659 "," 383,946 "," 283,565 "," 49,081 "," 45,061 "," 105,562 "
HH4012,27,530,00000,000000,District - Kolhapur,Rural," 556,628 "," 430,480 "," 143,801 "," 296,524 "," 6,901 "," 22,484 "," 43,003 "," 280,618 "," 52,272 "," 253,548 "," 159,963 "," 21,108 "," 11,986 "," 90,450 "
HH4012,27,530,00000,000000,District - Kolhapur,Urban," 264,855 "," 187,753 "," 113,720 "," 211,049 "," 15,368 "," 27,126 "," 19,015 "," 163,473 "," 37,387 "," 130,398 "," 123,602 "," 27,973 "," 33,075 "," 15,112 "
HH4012,27,530,04283,000000,Sub-District - Shahuwadi,Total," 39,703 "," 27,120 "," 7,907 "," 15,493 ", 333 ," 1,649 "," 2,474 "," 21,416 "," 1,776 "," 7,980 "," 6,393 "," 1,180 ", 366 ," 10,029 "
HH4012,27,530,04283,000000,Sub-District - Shahuwadi,Rural," 38,596 "," 26,428 "," 7,527 "," 14,669 ", 307 ," 1,584 "," 2,417 "," 20,656 "," 1,640 "," 7,662 "," 6,068 "," 1,108 ", 334 ," 9,944 "
HH4012,27,530,04283,000000,Sub-District - Shahuwadi,Urban," 1,107 ", 692 , 380 , 824 , 26 , 65 , 57 , 760 , 136 , 318 , 325 , 72 , 32 , 85 
HH4012,27,530,04283,802881,Malkapur (M Cl),Urban," 1,107 ", 692 , 380 , 824 , 26 , 65 , 57 , 760 , 136 , 318 , 325 , 72 , 32 , 85 
HH4012,27,530,04284,000000,Sub-District - Panhala,Total," 52,600 "," 44,744 "," 14,775 "," 28,362 ", 681 ," 2,280 "," 4,195 "," 25,828 "," 5,413 "," 20,442 "," 17,470 "," 2,240 "," 1,311 "," 8,692 "
HH4012,27,530,04284,000000,Sub-District - Panhala,Rural," 50,998 "," 43,535 "," 14,234 "," 27,130 ", 649 ," 2,224 "," 4,049 "," 25,012 "," 5,021 "," 20,207 "," 16,964 "," 2,166 "," 1,251 "," 8,559 "
HH4012,27,530,04284,000000,Sub-District - Panhala,Urban," 1,602 "," 1,209 ", 541 ," 1,232 ", 32 , 56 , 146 , 816 , 392 , 235 , 506 , 74 , 60 , 133 
HH4012,27,530,04284,802882,Panhala (M Cl),Urban, 677 , 564 , 275 , 504 , 27 , 30 , 58 , 398 , 108 , 155 , 251 , 52 , 43 , 59 
